"","No","Country","Level.of.development","European.Union.Membership","Currency","Women.Entrepreneurship.Index","Entrepreneurship.Index","Inflation.rate","Female.Labor.Force.Participation.Rate"
"1",4,"Austria","Developed","Member","Euro",54.9,64.9,0.9,67.1
"2",6,"Belgium","Developed","Member","Euro",63.6,65.5,0.6,58
"3",17,"Estonia","Developed","Member","Euro",55.4,60.2,-0.88,68.5
"4",18,"Finland","Developed","Member","Euro",66.4,65.7,-0.2,67.7
"5",19,"France","Developed","Member","Euro",68.8,67.3,0,60.6
"6",20,"Germany","Developed","Member","Euro",63.6,67.4,0.5,69.9
"7",22,"Greece","Developed","Member","Euro",43,42,-1.7,42.5
"8",28,"Ireland","Developed","Member","Euro",64.3,65.3,-0.3,59.4
"9",30,"Italy","Developed","Member","Euro",51.4,41.3,0,47.2
"10",34,"Latvia","Developed","Member","Euro",56.6,54.5,0.2,66.4
"11",35,"Lithuania","Developed","Member","Euro",58.5,54.6,-0.9,66.5
"12",39,"Netherlands","Developed","Member","Euro",69.3,66.5,0.6,69.2
"13",50,"Slovakia","Developed","Member","Euro",54.8,45.4,-0.3,55.9
"14",51,"Slovenia","Developed","Member","Euro",55.9,53.1,-0.5,61
"15",53,"Spain","Developed","Member","Euro",52.5,49.6,-0.5,52.7
"16",12,"Croatia","Developed","Member","National Currency",49.9,40.6,-0.5,60.4
"17",13,"Denmark","Developed","Member","National Currency",69.7,71.4,0.5,70.3
"18",24,"Hungary","Developed","Member","National Currency",53.7,42.7,-0.1,57.8
"19",44,"Poland","Developed","Member","National Currency",57.7,47.4,-0.9,56.6
"20",54,"Sweden","Developed","Member","National Currency",66.7,71.8,0,74
